timestamp,x,y,z
3004019,5.807588,2.4264088,19.474267
,7.609448,0.78248096,20.4146798
,8.566611,-0.6676214,20.256748
,6.9705415,-1.8832186,19.3809435
,6.4536734,-1.3759222,23.5924616
,5.728622,-0.27997026,25.583362
,9.073908,7.0399356,27.550332
,2.8068812,23.907545,22.9176617
3004057,-7.492195,57.587727,56.762955
,14.359841,45.867264,95.40124
,78.32227,3.050958,-4.174843
,49.88256,-15.269147,-28.288177
,-4.4220943,-3.1873536,-20.02786
,-19.186337,5.3768644,17.2632199
,-15.020284,19.035583,10.117996
,-51.418808,34.768955,21.2043395
3004096,-78.40124,49.18144,-14.773033
,-78.40124,39.45427,-28.285786
,-40.231964,1.170132,-8.048962
,-26.98961,-13.565396,8.416638
,-16.250238,2.6633067,-2.629025
,-7.360585,17.087757,-5.99824
,-3.201711,23.62279,-4.380634
,0.16032484,24.812063,-4.366276
3004134,3.9698346,28.59286,2.872271
,5.963127,26.01091,4.925385
,10.002356,25.616081,15.6145062
,15.630476,29.057083,44.40119
,19.96164,25.01307,60.74954
,42.82827,10.447436,54.30065
,53.40971,-4.5704546,49.555515
,58.33192,-11.134201,48.579208
3004172,32.94556,23.967367,41.589523
,13.704185,-15.587403,37.964268
,5.886554,-14.307198,38.136557
,-0.6676214,3.82626,30.570182
,0.7322299,-0.5264398,22.55394
,-1.5506045,-3.2878556,26.440022
,-3.9004402,-7.2265825,27.12918
,-8.119137,-11.1294155,26.827674
3004211,-11.880789,-13.443357,23.6163907
,-14.627847,-12.756593,15.9710495
,-14.386164,-13.0916,10.878941
,-14.058335,-11.194024,9.325944
,-13.0509205,-8.207675,8.462104
,-9.073908,-3.098816,3.934722
,-5.9750915,0.12682413,3.975401
,-2.60827,5.0873227,6.839712
3004250,0.4785816,8.377571,10.5032544
,2.2301903,8.4541445,12.211791
,3.330928,9.521381,13.1043456
,3.3237493,13.941083,14.1524394
,2.392908,13.694613,19.4359803
,1.040915,11.184452,20.926762
,0.52165395,8.889653,19.2325833
